Date,Open,High,Low,Close,Volume
2016-09-12,1.1241,1.12625,1.12147,1.12411,0.0
2016-09-13,1.12413,1.126,1.122,1.12435,0.0
2016-09-14,1.12196,1.12752,1.12145,1.12187,0.0
2016-09-15,1.12454,1.12816,1.1221,1.12473,0.0
2016-09-16,1.1248,1.12499,1.1156,1.12459,0.0
2016-09-19,1.11607,1.121,1.1154,1.11585,0.0
2016-09-20,1.11794,1.12133,1.1166,1.11807,0.0
2016-09-21,1.11557,1.11694,1.1126,1.1154,0.0
2016-09-22,1.11932,1.12587,1.11821,1.11932,0.0
2016-09-23,1.12095,1.123,1.1196,1.12101,0.0
2016-09-26,1.12397,1.1279,1.1222,1.12392,0.0
2016-09-27,1.12507,1.126,1.1194,1.12499,0.0
2016-09-28,1.12183,1.12372,1.1184,1.12196,0.0
2016-09-29,1.12246,1.125,1.11995,1.1225,0.0
2016-09-30,1.12221,1.125,1.1154,1.12196,0.0
2016-10-03,1.1236,1.12435,1.1206,1.12347,0.0
2016-10-04,1.12133,1.125,1.114,1.12104,0.0
2016-10-05,1.12108,1.124,1.1192,1.12108,0.0
2016-10-06,1.12082,1.1212,1.11495,1.12082,0.0
2016-10-07,1.11458,1.1202,1.1106,1.11445,0.0
2016-10-10,1.11954,1.1202,1.11508,1.1197,0.0
2016-10-11,1.11433,1.11433,1.1056,1.11408,0.0
2016-10-12,1.10619,1.10619,1.1006,1.10619,0.0
2016-10-13,1.10132,1.10485,1.098601,1.10119,0.0
2016-10-14,1.10497,1.10583,1.098539,1.10497,0.0
2016-10-17,1.096852,1.1012,1.096527,1.09678,0.0
2016-10-18,1.1012,1.1029,1.0972,1.10156,0.0
2016-10-19,1.097574,1.10047,1.0956,1.097695,0.0
2016-10-20,1.097574,1.1029,1.091601,1.097514,0.0
2016-10-21,1.093028,1.093135,1.086248,1.09304,0.0
2016-10-24,1.088495,1.0902,1.086048,1.088258,0.0
2016-10-25,1.087548,1.09,1.08534,1.087548,0.0
2016-10-26,1.08872,1.094811,1.087666,1.088732,0.0
2016-10-27,1.091107,1.094212,1.089396,1.091203,0.0
2016-10-28,1.090001,1.09529,1.089752,1.090037,0.0
2016-10-31,1.098418,1.098467,1.093924,1.098467,0.0
2016-11-01,1.097333,1.10509,1.096179,1.097333,0.0
2016-11-02,1.10595,1.11198,1.10516,1.10571,0.0
