Date,Open,High,Low,Close,Volume
1990-01-01,1.1835,1.2099,1.1685,1.1981,0.0
1990-01-08,1.2158,1.2181,1.1925,1.2054,0.0
1990-01-15,1.2005,1.2096,1.184,1.1893,0.0
1990-01-22,1.1814,1.2129,1.1788,1.2076,0.0
1990-01-29,1.2142,1.2205,1.2052,1.2124,0.0
1990-02-05,1.2284,1.2321,1.2125,1.2215,0.0
1990-02-12,1.2175,1.2225,1.201,1.2185,0.0
1990-02-19,1.2172,1.2281,1.2135,1.2185,0.0
1990-02-26,1.2124,1.2145,1.187,1.1909,0.0
1990-03-05,1.2021,1.2067,1.1913,1.1962,0.0
1990-03-12,1.1891,1.2047,1.1837,1.1997,0.0
1990-03-19,1.2067,1.2115,1.1895,1.1912,0.0
1990-03-26,1.196,1.2127,1.187,1.2061,0.0
1990-04-02,1.2015,1.2092,1.1977,1.2065,0.0
1990-04-09,1.2082,1.224,1.2065,1.2207,0.0
1990-04-16,1.2167,1.2231,1.2095,1.2116,0.0
1990-04-23,1.2044,1.2221,1.2022,1.2182,0.0
1990-04-30,1.2185,1.2307,1.213,1.2292,0.0
1990-05-07,1.2361,1.2537,1.2295,1.2455,0.0
1990-05-14,1.2444,1.2517,1.2365,1.2412,0.0
1990-05-21,1.2325,1.2432,1.2174,1.2207,0.0
1990-05-28,1.2239,1.2311,1.2077,1.2092,0.0
1990-06-04,1.2164,1.2221,1.2057,1.2109,0.0
1990-06-11,1.2135,1.2251,1.2105,1.2179,0.0
1990-06-18,1.23,1.2353,1.2175,1.2315,0.0
1990-06-25,1.2297,1.2435,1.2273,1.236,0.0
1990-07-02,1.246,1.2572,1.2391,1.2509,0.0
1990-07-09,1.256,1.265,1.2452,1.26,0.0
1990-07-16,1.2532,1.2665,1.2471,1.2622,0.0
1990-07-23,1.2735,1.2839,1.2635,1.2834,0.0
1990-07-30,1.2875,1.3082,1.279,1.2993,0.0
1990-08-06,1.3152,1.3195,1.297,1.3045,0.0
1990-08-13,1.318,1.3385,1.3128,1.3365,0.0
1990-08-20,1.3306,1.3451,1.319,1.3383,0.0
1990-08-27,1.3401,1.346,1.3136,1.3155,0.0
1990-09-03,1.308,1.334,1.3051,1.3205,0.0
1990-09-10,1.308,1.327,1.2956,1.3183,0.0
1990-09-17,1.3341,1.3414,1.3105,1.313,0.0
1990-09-24,1.3302,1.3332,1.3115,1.3153,0.0
1990-10-01,1.328,1.3475,1.316,1.3345,0.0
1990-10-08,1.3493,1.3679,1.339,1.3625,0.0
1990-10-15,1.3608,1.3849,1.3535,1.3755,0.0
1990-10-22,1.3637,1.3758,1.3585,1.3665,0.0
1990-10-29,1.3655,1.3792,1.3563,1.376,0.0
1990-11-05,1.3895,1.3977,1.3805,1.3865,0.0
1990-11-12,1.391,1.4006,1.3875,1.3982,0.0
1990-11-19,1.398,1.4021,1.3879,1.3883,0.0
1990-11-26,1.3829,1.398,1.3655,1.3708,0.0
1990-12-03,1.361,1.39,1.3588,1.389,0.0
1990-12-10,1.3942,1.4024,1.38,1.3835,0.0
1990-12-17,1.3772,1.392,1.339,1.34,0.0
1990-12-24,1.3334,1.359,1.3334,1.3569,0.0
1990-12-31,1.3665,1.382,1.3579,1.367,0.0
1991-01-07,1.3455,1.3635,1.3339,1.346,0.0
1991-01-14,1.3418,1.3743,1.3315,1.3735,0.0
1991-01-21,1.381,1.392,1.3641,1.3829,0.0
1991-01-28,1.3835,1.4024,1.3742,1.4001,0.0
1991-02-04,1.401,1.4188,1.3967,1.4083,0.0
1991-02-11,1.4181,1.4212,1.389,1.391,0.0
1991-02-18,1.3866,1.3942,1.3687,1.3687,0.0
1991-02-25,1.3528,1.3673,1.3355,1.3363,0.0
1991-03-04,1.3386,1.3462,1.3145,1.3145,0.0
1991-03-11,1.302,1.3133,1.2835,1.2835,0.0
1991-03-18,1.264,1.2828,1.2315,1.2515,0.0
1991-03-25,1.2321,1.2455,1.1967,1.2114,0.0
1991-04-01,1.2114,1.2447,1.21,1.2292,0.0
1991-04-08,1.221,1.2428,1.2148,1.227,0.0
1991-04-15,1.234,1.2425,1.189,1.1904,0.0
1991-04-22,1.1695,1.1897,1.1685,1.1762,0.0
1991-04-29,1.1767,1.216,1.1548,1.1742,0.0
1991-05-06,1.1869,1.1999,1.1767,1.1943,0.0
1991-05-13,1.2005,1.2224,1.1895,1.1895,0.0
1991-05-20,1.189,1.205,1.1677,1.2047,0.0
1991-05-27,1.2043,1.2129,1.1792,1.1802,0.0
1991-06-03,1.1771,1.1835,1.1597,1.1617,0.0
1991-06-10,1.1642,1.166,1.1381,1.1427,0.0
1991-06-17,1.1442,1.1543,1.126,1.1382,0.0
1991-06-24,1.1517,1.1532,1.1287,1.1352,0.0
1991-07-01,1.1241,1.137,1.116,1.1259,0.0
1991-07-08,1.1362,1.151,1.1177,1.1482,0.0
1991-07-15,1.1469,1.1772,1.1402,1.1762,0.0
1991-07-22,1.1652,1.1856,1.1596,1.1772,0.0
1991-07-29,1.1742,1.1839,1.1615,1.1789,0.0
1991-08-05,1.1947,1.2053,1.1806,1.1857,0.0
1991-08-12,1.1879,1.1909,1.1622,1.1622,0.0
1991-08-19,1.1273,1.1892,1.1264,1.1737,0.0
1991-08-26,1.1745,1.1875,1.1668,1.1752,0.0
1991-09-02,1.1765,1.1978,1.1742,1.1977,0.0
1991-09-09,1.2103,1.2217,1.1839,1.2147,0.0
1991-09-16,1.222,1.2283,1.205,1.2152,0.0
1991-09-23,1.2232,1.2302,1.2094,1.2257,0.0
1991-09-30,1.2277,1.2339,1.2147,1.2207,0.0
1991-10-07,1.2192,1.2305,1.1965,1.2122,0.0
1991-10-14,1.2053,1.2142,1.1953,1.2129,0.0
1991-10-21,1.2087,1.2154,1.196,1.2043,0.0
1991-10-28,1.1924,1.2447,1.19,1.2434,0.0
1991-11-04,1.2477,1.2577,1.2375,1.2397,0.0
1991-11-11,1.246,1.2622,1.2376,1.26,0.0
1991-11-18,1.2659,1.2872,1.2609,1.2822,0.0
1991-11-25,1.2792,1.2882,1.245,1.2545,0.0
1991-12-02,1.2607,1.2957,1.2587,1.2948,0.0
1991-12-09,1.2927,1.2997,1.2752,1.2829,0.0
1991-12-16,1.2932,1.3252,1.2819,1.3217,0.0
1991-12-23,1.3382,1.349,1.324,1.334,0.0
1991-12-30,1.3357,1.3447,1.3129,1.3177,0.0
1992-01-06,1.3432,1.3525,1.2812,1.2839,0.0
1992-01-13,1.2901,1.2997,1.2462,1.2837,0.0
1992-01-20,1.2845,1.2916,1.2627,1.2787,0.0
1992-01-27,1.2677,1.2892,1.2597,1.2682,0.0
1992-02-03,1.276,1.3098,1.2699,1.309,0.0
1992-02-10,1.2942,1.3109,1.253,1.2572,0.0
1992-02-17,1.2598,1.271,1.2335,1.2361,0.0
1992-02-24,1.2378,1.255,1.228,1.2482,0.0
