Date,Open,High,Low,Close,Volume
1990-01-01,1.6094,1.6883,1.6038,1.6778,0.0
1990-02-01,1.6839,1.7173,1.673,1.6762,0.0
1990-03-01,1.6644,1.6857,1.5883,1.6452,0.0
1990-04-01,1.6335,1.6495,1.6235,1.6444,0.0
1990-05-01,1.6417,1.7075,1.6365,1.681,0.0
1990-06-01,1.6805,1.749,1.6675,1.749,0.0
1990-07-01,1.777,1.8657,1.7412,1.8565,0.0
1990-08-01,1.8545,1.96,1.8298,1.891,0.0
1990-09-01,1.872,1.9248,1.8363,1.8835,0.0
1990-10-01,1.8935,1.9883,1.8797,1.943,0.0
1990-11-01,1.9455,1.9865,1.932,1.9435,0.0
1990-12-01,1.9185,1.9624,1.8625,1.9335,0.0
1991-01-01,1.9445,1.976,1.8845,1.966,0.0
1991-02-01,1.9755,2.0050001,1.908,1.912,0.0
1991-03-01,1.896,1.9155,1.7305,1.768,0.0
1991-04-01,1.778,1.8009,1.665,1.722,0.0
1991-05-01,1.7185,1.76,1.6885,1.6975,0.0
1991-06-01,1.6975,1.7062,1.6032,1.6082,0.0
1991-07-01,1.603,1.7,1.5988,1.6763,0.0
1991-08-01,1.69,1.7212,1.6115,1.681,0.0
1991-09-01,1.6839,1.7555,1.679,1.746,0.0
1991-10-01,1.75,1.7585,1.6905,1.739,0.0
1991-11-01,1.7675,1.8075,1.7398,1.768,0.0
1991-12-01,1.7725,1.8905,1.7694,1.8675,0.0
1992-01-01,1.8685,1.889,1.7425,1.7855,0.0
1992-02-01,1.7958,1.8405,1.7305,1.7571,0.0
1992-03-01,1.7535,1.7633,1.698,1.726,0.0
1992-04-01,1.7308,1.7873,1.7174,1.7864,0.0
1992-05-01,1.7785,1.8435,1.7753,1.826,0.0
1992-06-01,1.8258,1.917,1.8043,1.9043,0.0
1992-07-01,1.9047,1.9595,1.888,1.9258,0.0
1992-08-01,1.9247,2.003,1.9005,2.0020001,0.0
1992-09-01,2.0013001,2.0105,1.6824,1.7423,0.0
1992-10-01,1.747,1.752,1.5535,1.5575,0.0
1992-11-01,1.5545,1.5619,1.502,1.516,0.0
1992-12-01,1.5155,1.6105,1.494,1.5105,0.0
1993-01-01,1.511,1.5675,1.4835,1.4865,0.0
1993-02-01,1.4735,1.4777,1.4068,1.4245,0.0
1993-03-01,1.4219,1.533,1.4212,1.5305,0.0
1993-04-01,1.53,1.5975,1.507,1.5735,0.0
1993-05-01,1.5695,1.5899,1.5185,1.5545,0.0
1993-06-01,1.5552,1.5555,1.4643,1.5168,0.0
1993-07-01,1.5167,1.5255,1.4725,1.482,0.0
1993-08-01,1.48,1.5208,1.4555,1.504,0.0
1993-09-01,1.5023,1.5577,1.489,1.506,0.0
1993-10-01,1.4969,1.5395,1.4705,1.4785,0.0
1993-11-01,1.4808,1.4978,1.464,1.486,0.0
1993-12-01,1.4858,1.5101,1.4725,1.477,0.0
1994-01-01,1.4755,1.5115,1.4747,1.5055,0.0
1994-02-01,1.5067,1.509,1.4545,1.4853,0.0
1994-03-01,1.4849,1.5055,1.4715,1.4735,0.0
1994-04-01,1.4728,1.5242,1.4608,1.5196,0.0
1994-05-01,1.5162,1.5208,1.485,1.5162,0.0
1994-06-01,1.5162,1.5585,1.5017,1.5385,0.0
1994-07-01,1.5351,1.5762,1.5192,1.5362,0.0
1994-08-01,1.5362,1.5592,1.526,1.5456,0.0
1994-09-01,1.5462,1.5875,1.5375,1.578,0.0
1994-10-01,1.5795,1.6421,1.5737,1.6361,0.0
1994-11-01,1.6361,1.6443,1.559,1.5653,0.0
1994-12-01,1.5646,1.5765,1.5393,1.5665,0.0
1995-01-01,1.5665,1.6025,1.5478,1.579,0.0
1995-02-01,1.5795,1.5968,1.5498,1.583,0.0
1995-03-01,1.5842,1.6571,1.564,1.622,0.0
1995-04-01,1.6248,1.6273,1.5863,1.616,0.0
1995-05-01,1.616,1.6245,1.5534,1.5968,0.0
1995-06-01,1.5963,1.6164,1.569,1.595,0.0
1995-07-01,1.5936,1.6113,1.5853,1.6063,0.0
1995-08-01,1.6075,1.611,1.5302,1.556,0.0
1995-09-01,1.5585,1.5985,1.5429,1.5835,0.0
1995-10-01,1.5829,1.5949,1.567,1.5805,0.0
1995-11-01,1.5808,1.5863,1.524,1.532,0.0
1995-12-01,1.5313,1.5625,1.52,1.5508,0.0
1996-01-01,1.547,1.5606,1.4975,1.513,0.0
1996-02-01,1.513,1.5535,1.5119,1.5316,0.0
1996-03-01,1.5317,1.541,1.516,1.524,0.0
1996-04-01,1.5244,1.5327,1.4891,1.4929,0.0
1996-05-01,1.4928,1.553,1.4903,1.5511,0.0
1996-06-01,1.5529,1.5603,1.5273,1.5585,0.0
1996-07-01,1.5581,1.5646,1.5373,1.5522,0.0
1996-08-01,1.5522,1.5654,1.5344,1.5621,0.0
1996-09-01,1.5612,1.573,1.5489,1.564,0.0
1996-10-01,1.5642,1.6351,1.5608,1.6271,0.0
1996-11-01,1.6275,1.691,1.626,1.682,0.0
1996-12-01,1.6825,1.7173,1.61,1.713,0.0
1997-01-01,1.7112,1.7135,1.5953,1.6025,0.0
1997-02-01,1.5986,1.646,1.5958,1.6295,0.0
1997-03-01,1.6273,1.6555,1.5855,1.6523,0.0
1997-04-01,1.6502,1.6528,1.6159,1.6299,0.0
1997-05-01,1.6285,1.6601,1.6,1.641,0.0
1997-06-01,1.6413,1.673,1.6192,1.6585,0.0
1997-07-01,1.6585,1.6991,1.6206,1.6315,0.0
1997-08-01,1.6317,1.635,1.5665,1.609,0.0
1997-09-01,1.6086,1.63,1.578,1.6165,0.0
1997-10-01,1.6133,1.6879,1.599,1.6735,0.0
1997-11-01,1.678,1.715,1.6673,1.689,0.0
1997-12-01,1.6915,1.6915,1.6275,1.6475,0.0
1998-01-01,1.648,1.6865,1.609,1.6335,0.0
1998-02-01,1.6334,1.6598,1.6208,1.6442,0.0
1998-03-01,1.6437,1.6895,1.629,1.6713,0.0
1998-04-01,1.6728,1.6977,1.655,1.6667,0.0
1998-05-01,1.6618,1.6705,1.6155,1.6399,0.0
1998-06-01,1.6398,1.6788,1.6255,1.6605,0.0
1998-07-01,1.6595,1.6631,1.6271,1.6341,0.0
1998-08-01,1.6345,1.6861,1.6083,1.675,0.0
1998-09-01,1.675,1.715,1.6515,1.7039,0.0
1998-10-01,1.7028,1.7371,1.6615,1.6749,0.0
1998-11-01,1.677,1.6801,1.6447,1.6482,0.0
1998-12-01,1.6484,1.6945,1.6467,1.6542,0.0
1999-01-01,1.6582,1.6721,1.6233,1.6458,0.0
