Date,Open,High,Low,Close,Volume
1990-01-01,1.6094,1.642,1.6038,1.635,0.0
1990-01-08,1.654,1.6725,1.6345,1.6605,0.0
1990-01-15,1.656,1.674,1.637,1.6445,0.0
1990-01-22,1.6374,1.667,1.6338,1.6635,0.0
1990-01-29,1.6804,1.6888,1.6525,1.6833,0.0
1990-02-05,1.7005,1.7071,1.6855,1.697,0.0
1990-02-12,1.693,1.7005,1.678,1.699,0.0
1990-02-19,1.705,1.7173,1.6955,1.708,0.0
1990-02-26,1.6925,1.7067,1.6355,1.6425,0.0
1990-03-05,1.647,1.6545,1.603,1.6123,0.0
1990-03-12,1.6099,1.6276,1.5968,1.615,0.0
1990-03-19,1.6,1.6255,1.5883,1.618,0.0
1990-03-26,1.6248,1.6507,1.6138,1.6335,0.0
1990-04-02,1.6355,1.6494,1.6279,1.6341,0.0
1990-04-09,1.6459,1.6463,1.6293,1.63,0.0
1990-04-16,1.6365,1.6495,1.6245,1.6338,0.0
1990-04-23,1.634,1.6425,1.6285,1.6405,0.0
1990-04-30,1.6444,1.6718,1.636,1.6675,0.0
1990-05-07,1.6705,1.686,1.6655,1.6818,0.0
1990-05-14,1.674,1.6985,1.6618,1.686,0.0
1990-05-21,1.6915,1.7005,1.685,1.6945,0.0
1990-05-28,1.6955,1.7075,1.6675,1.6805,0.0
1990-06-04,1.687,1.6905,1.675,1.686,0.0
1990-06-11,1.703,1.7157,1.6853,1.715,0.0
1990-06-18,1.7213,1.7355,1.7075,1.7312,0.0
1990-06-25,1.742,1.778,1.7263,1.777,0.0
1990-07-02,1.7765,1.8134,1.7645,1.809,0.0
1990-07-09,1.824,1.8285,1.775,1.8039,0.0
1990-07-16,1.8165,1.8315,1.796,1.825,0.0
1990-07-23,1.813,1.8493,1.801,1.8416,0.0
1990-07-30,1.8639,1.8805,1.8298,1.8735,0.0
1990-08-06,1.8715,1.8898,1.8605,1.885,0.0
1990-08-13,1.898,1.9255,1.882,1.9125,0.0
1990-08-20,1.911,1.96,1.902,1.9488,0.0
1990-08-27,1.943,1.9543,1.8665,1.872,0.0
1990-09-03,1.8795,1.92,1.8485,1.8577,0.0
1990-09-10,1.8575,1.915,1.8363,1.9135,0.0
1990-09-17,1.912,1.9248,1.8375,1.862,0.0
1990-09-24,1.867,1.9018,1.8578,1.8835,0.0
1990-10-01,1.8935,1.9883,1.8797,1.9765,0.0
1990-10-08,1.9725,1.9855,1.9447,1.9487,0.0
1990-10-15,1.965,1.9767,1.934,1.9435,0.0
1990-10-22,1.943,1.9638,1.936,1.958,0.0
1990-10-29,1.9495,1.9615,1.932,1.959,0.0
1990-11-05,1.974,1.9795,1.9533,1.966,0.0
1990-11-12,1.967,1.9725,1.9525,1.966,0.0
1990-11-19,1.9743,1.9815,1.9605,1.9673,0.0
1990-11-26,1.9688,1.9865,1.9345,1.9435,0.0
1990-12-03,1.9185,1.9555,1.9125,1.953,0.0
1990-12-10,1.944,1.9624,1.932,1.9375,0.0
1990-12-17,1.9305,1.9445,1.8795,1.886,0.0
1990-12-24,1.8675,1.9305,1.8625,1.9275,0.0
1990-12-31,1.9335,1.952,1.914,1.935,0.0
1991-01-07,1.9031,1.938,1.8905,1.9076,0.0
1991-01-14,1.904,1.9565,1.8845,1.95,0.0
1991-01-21,1.955,1.968,1.9335,1.9565,0.0
1991-01-28,1.965,1.9798,1.9485,1.9755,0.0
1991-02-04,1.9807,2.0050001,1.9695,1.9885,0.0
1991-02-11,1.9975,2.00099993,1.966,1.967,0.0
1991-02-18,1.963,1.9725,1.9395,1.944,0.0
1991-02-25,1.926,1.9435,1.8897,1.9002,0.0
1991-03-04,1.892,1.9125,1.8445,1.85,0.0
1991-03-11,1.8625,1.869,1.7855,1.7935,0.0
1991-03-18,1.78,1.809,1.7445,1.749,0.0
1991-03-25,1.7595,1.7715,1.7305,1.768,0.0
1991-04-01,1.778,1.8009,1.748,1.7657,0.0
1991-04-08,1.7937,1.799,1.762,1.793,0.0
1991-04-15,1.7895,1.7974,1.6894,1.6959,0.0
1991-04-22,1.7119,1.718,1.665,1.6977,0.0
1991-04-29,1.734,1.751,1.6885,1.7105,0.0
1991-05-06,1.727,1.7405,1.7005,1.7335,0.0
1991-05-13,1.7455,1.76,1.702,1.7163,0.0
1991-05-20,1.7372,1.742,1.7147,1.7353,0.0
1991-05-27,1.748,1.7505,1.6855,1.6975,0.0
1991-06-03,1.6995,1.7062,1.665,1.6711,0.0
1991-06-10,1.6585,1.674,1.62,1.6275,0.0
1991-06-17,1.608,1.649,1.6032,1.6455,0.0
1991-06-24,1.6317,1.6465,1.6075,1.6082,0.0
1991-07-01,1.603,1.6365,1.5988,1.6335,0.0
1991-07-08,1.6222,1.656,1.601,1.6518,0.0
1991-07-15,1.643,1.6975,1.6413,1.6765,0.0
1991-07-22,1.6805,1.7,1.6658,1.6825,0.0
1991-07-29,1.6768,1.713,1.6625,1.71,0.0
1991-08-05,1.7145,1.7212,1.6871,1.6985,0.0
1991-08-12,1.6925,1.7015,1.6115,1.625,0.0
1991-08-19,1.645,1.6982,1.6225,1.6802,0.0
1991-08-26,1.6801,1.698,1.6713,1.6839,0.0
1991-09-02,1.6951,1.7373,1.6829,1.7332,0.0
1991-09-09,1.73,1.7422,1.7208,1.738,0.0
1991-09-16,1.7424,1.7473,1.72,1.7439,0.0
1991-09-23,1.727,1.7555,1.7245,1.749,0.0
1991-09-30,1.746,1.7585,1.731,1.735,0.0
1991-10-07,1.702,1.7365,1.6925,1.7132,0.0
1991-10-14,1.7,1.7285,1.6985,1.717,0.0
1991-10-21,1.7095,1.7185,1.6975,1.7126,0.0
1991-10-28,1.694,1.769,1.6905,1.7675,0.0
